update_count,repeat_index,cpu_single_us,cpu_workers_us,gpu_submit_us,gpu_kernel_us,gpu_wall_us
64,0,0.805000,25.106667,0.078333,2.449219,5.677500
64,1,0.835000,23.348333,0.020000,7.581163,11.714167
64,2,0.804167,26.167500,0.022500,2.470920,4.760833
64,3,0.803333,24.925000,0.020000,2.236545,3.194167
64,4,0.865833,24.211667,0.018333,3.592014,6.887500
64,5,0.811667,23.281667,0.017500,5.518229,9.154167
64,6,0.819167,24.175000,0.019167,2.233507,3.104167
128,0,1.602500,24.263333,0.016667,7.574653,11.363333
128,1,1.610833,25.008333,0.016667,7.476128,11.272500
128,2,1.610000,25.370833,0.022500,5.342014,8.810000
128,3,1.639167,26.095833,0.025833,3.366319,5.384167
128,4,1.615833,25.300000,0.018333,3.367622,4.581667
128,5,2.332500,23.333333,0.020000,3.371528,9.625833
128,6,1.682500,23.935833,0.016667,3.368056,5.723333
200,0,2.499167,23.891667,0.015833,7.737847,8.911667
200,1,2.944167,22.236667,0.015000,4.769097,6.034167
200,2,2.507500,25.510000,0.021667,4.768663,5.971667
200,3,2.533333,24.778333,0.018333,6.347656,7.880000
200,4,2.522500,22.450000,0.011667,16.062934,17.274167
200,5,2.534167,23.687500,0.016667,16.203559,17.927500
200,6,2.548333,25.884167,0.020000,16.274740,18.197500
256,0,3.197500,25.229167,0.021667,15.704427,28.007500
256,1,3.240000,24.395000,0.014167,22.895399,24.380000
256,2,3.215833,25.557500,0.014167,20.192708,21.757500
256,3,3.233333,22.860833,0.015000,20.092448,21.561667
256,4,3.226667,24.411667,0.015833,6.535156,7.735833
256,5,3.243333,25.235000,0.015000,6.530382,7.551667
256,6,3.261667,25.402500,0.015000,6.529948,7.685833
512,0,6.424167,30.548333,0.019167,7.062500,14.863333
512,1,6.443333,24.330833,0.020833,7.059028,8.119167
512,2,6.455833,23.760000,0.019167,7.062066,7.910000
512,3,6.435833,25.551667,0.015000,10.189236,11.326667
512,4,6.499167,22.920000,0.016667,7.057292,8.264167
512,5,6.501667,24.003333,0.019167,7.067708,8.190000
512,6,6.522500,26.131667,0.021667,7.059028,8.258333
1024,0,12.864167,29.528333,0.019167,11.546007,12.740833
1024,1,12.960833,23.881667,0.020000,11.539497,14.372500
1024,2,12.970833,28.184167,0.018333,11.539931,12.825833
1024,3,12.939167,24.140000,0.015000,11.545139,12.788333
1024,4,12.906667,24.478333,0.013333,11.546875,12.671667
1024,5,13.001667,23.858333,0.015000,11.539062,13.129167
1024,6,13.749167,24.208333,0.016667,11.541233,12.675833
4096,0,52.310000,41.230000,0.021667,40.621528,41.976667
4096,1,51.685833,42.453333,0.018333,39.142795,40.471667
4096,2,51.485833,38.811667,0.023333,41.503906,42.706667
4096,3,52.005833,40.350833,0.022500,39.391059,40.743333
4096,4,54.830833,38.339167,0.024167,39.098524,40.527500
4096,5,52.456667,37.158333,0.023333,39.513889,40.769167
4096,6,52.280833,41.357500,0.020000,38.111111,39.320833
16384,0,210.232500,70.410833,0.021667,153.761285,156.782500
16384,1,218.190000,68.061667,0.030833,143.233941,144.995000
16384,2,207.509167,111.151667,0.026667,139.943576,141.852500
16384,3,216.612500,87.485833,0.024167,154.296007,155.620000
16384,4,207.400833,112.942500,0.030000,147.432726,148.545833
16384,5,219.682500,73.535833,0.035833,139.718316,141.244167
16384,6,210.119167,70.761667,0.025833,139.899740,141.451667
65536,0,836.939167,162.973333,0.032500,686.075955,687.943333
65536,1,852.190833,145.345833,0.030000,748.431424,751.730000
65536,2,866.195833,178.680000,0.028333,785.306424,789.320000
65536,3,840.145000,151.880833,0.030833,763.390191,765.154167
65536,4,848.528333,154.422500,0.030833,821.698785,824.775000
65536,5,857.975833,171.415833,0.027500,791.657986,798.742500
65536,6,857.817500,170.158333,0.030000,912.082031,913.872500
262144,0,3870.650833,443.335000,0.034167,2756.286458,2773.252500
262144,1,3801.539167,618.674167,0.031667,2688.743056,2718.519167
262144,2,3816.836667,411.713333,0.036667,2849.871528,2890.271667
262144,3,3809.669167,457.507500,0.037500,2820.593750,2825.985833
262144,4,3872.328333,470.228333,0.035833,3042.791233,3051.201667
262144,5,3849.154167,486.823333,0.030000,2810.006076,2814.063333
262144,6,3774.657500,453.270833,0.035000,2859.579861,2863.835000
