update_count,cpu_single_us,cpu_workers_us,cpu_workers_speedup_vs_single,cpu_workers_normalized_time,gpu_submit_us,gpu_kernel_us,gpu_wall_us,gpu_wall_speedup_vs_single,gpu_wall_normalized_time
64,0.811667,24.211667,0.033524,29.829557,0.020000,2.470920,5.677500,0.142962,6.994864
128,1.615833,25.008333,0.064612,15.477053,0.018333,3.371528,8.810000,0.183409,5.452296
200,2.533333,23.891667,0.106034,9.430922,0.016667,7.737847,8.911667,0.284272,3.517764
256,3.233333,25.229167,0.128159,7.802836,0.015000,15.704427,21.561667,0.149957,6.668557
512,6.455833,24.330833,0.265335,3.768814,0.019167,7.062066,8.258333,0.781736,1.279205
1024,12.960833,24.208333,0.535387,1.867807,0.016667,11.541233,12.788333,1.013489,0.986691
4096,52.280833,40.350833,1.295657,0.771809,0.022500,39.391059,40.743333,1.283175,0.779317
16384,210.232500,73.535833,2.858912,0.349783,0.026667,143.233941,144.995000,1.449929,0.689689
65536,852.190833,162.973333,5.229020,0.191240,0.030000,785.306424,789.320000,1.079652,0.926224
262144,3816.836667,457.507500,8.342676,0.119866,0.035000,2820.593750,2825.985833,1.350621,0.740400
